subject,activities,Mean of body acceleration (x axis),Mean of body acceleration (y axis),Mean of body acceleration (z axis),Mean of angular velocity (x axis),Mean of angular velocity (y axis),Mean of angular velocity (z axis),Mean of total acceleration (x axis),Mean of total acceleration (y axis),Mean of total acceleration (z axis)
1,laying,-0.011535888911514063,-0.012260907411439688,-0.0016173186560131244,0.011470440378349532,0.004448692664973437,0.02759843499418281,0.1481625732290625,0.7104549807047812,0.43097425173548437
1,sitting,-0.0033669880771878325,0.008302968745452194,0.001243222193540891,-0.018229270711354058,-0.007939407745763098,-0.010357234357467751,0.9203974209773936,0.23051247308676862,0.3220262739694149
1,standing,2.765324364535377e-4,5.24808830951651e-4,-7.578602536434552e-4,0.003802733894823703,0.006746301110150649,-0.005103968594776238,1.0028541055129716,-0.25405924694870285,0.006975224716001179
1,walking,-5.0491199055920796e-5,-1.2885413594736846e-4,-9.383201095600329e-4,-0.014599858215148026,0.002171393077113487,-6.143049075312501e-4,0.9970611809210527,-0.2638825236461546,-0.07338911638832549
1,walking downstairs,0.002393124844292092,0.003786799231664541,2.449301933434309e-4,-0.007635393746619899,-0.007493769602104593,0.0016606945616230884,0.9971364992028061,-0.2444317998309949,-0.06632631842016581
1,walking upstairs,-0.004557285089696344,-0.003574552720794516,0.003635607257815448,0.08067649511583137,-0.04146095173051297,-0.012380683650188679,0.9629419350972878,-0.34721572298245873,-0.07598915283581957
2,laying,7.826204599078776e-4,-5.35310148371875e-4,3.508313103059896e-4,0.009486628858291634,-0.016913599976112303,0.025913675310260415,-0.024011024614453126,0.7691082066080729,0.630486895328776
2,sitting,-1.0065241385071335e-4,7.606279529014947e-4,-3.008189988987773e-4,-0.018353656929914062,0.006506350649667799,-0.0199630489963625,1.0007267641304347,-0.08668060831922554,0.18946841015523097
2,standing,6.918301412624423e-5,-6.727782929701968e-4,7.925207856686921e-4,0.003932010286347945,-0.003476618242225405,6.649366736782408e-4,0.9700984325665509,-0.35221331011284723,0.12277379744270833
2,walking,-2.3682352644597472e-4,-7.640919728124999e-4,9.273586101697563e-4,-0.026145655412298727,0.011784514857482786,-0.0015486812059666317,0.981170597153072,-0.32887858792770125,0.0786663049567929
2,walking downstairs,8.156667493351188e-6,-0.002897021400731383,-0.0028096449867669546,-0.09103970326037233,0.031386088491999004,0.004798125374301861,0.9452162308344415,-0.3102107848314495,-0.051464899919776264
2,walking upstairs,-0.006267116015266927,-0.0022417460815084634,-0.014603116950817382,-0.030957360475748697,0.019076103948372395,-0.007743288215625001,0.8886483344075521,-0.3998762861083333,-0.21263173670079102
3,laying,-4.243020754899194e-4,-9.533147508901209e-4,0.0023147489256525704,0.007072811376636089,0.0011236255357144657,0.02286720155645892,0.16431185728326614,0.8530791370715726,0.4770509182207661
3,sitting,-0.004199547465150841,0.0071518143813936,0.0032867950034738583,-0.011202138350172326,-4.0706760554777647e-4,0.003398473711746695,0.9687790636268029,0.152350318292488,0.1343812901484375
