subject,activity,activity_mean
1,laying,-0.6075223918360139
1,sitting,-0.6334052306124808
1,standing,-0.647424789141436
1,walking,-0.3191058102003311
1,walking_downstairs,-0.29722629282400054
1,walking_upstairs,-0.40699661814598026
2,laying,-0.6399738378278437
2,sitting,-0.6405979140789135
2,standing,-0.636454993012462
2,walking,-0.38570809371605363
2,walking_downstairs,-0.2596772930613873
2,walking_upstairs,-0.3639833051029547
3,laying,-0.6414458048753806
3,sitting,-0.622780836987975
3,standing,-0.626824657789309
3,walking,-0.3868658628745142
3,walking_downstairs,-0.3505361385544043
3,walking_upstairs,-0.42427467181114864
4,laying,-0.6308750807256029
4,sitting,-0.6270749887521371
4,standing,-0.6185837721579317
4,walking,-0.4305566148391803
4,walking_downstairs,-0.3637904410168873
4,walking_upstairs,-0.4152603744624408
5,laying,-0.6317935055173193
5,sitting,-0.6270148335700205
5,standing,-0.6188215375316014
5,walking,-0.378535121986988
5,walking_downstairs,-0.2969015800919285
5,walking_upstairs,-0.35635346490125236
6,laying,-0.6194214310714525
6,sitting,-0.6254129577104958
6,standing,-0.6292531605861222
6,walking,-0.33751336252258246
6,walking_downstairs,-0.19892242484044131
6,walking_upstairs,-0.3306423401293159
7,laying,-0.628303269447471
7,sitting,-0.6288331383747922
7,standing,-0.6336901062640903
7,walking,-0.30676448285854574
7,walking_downstairs,-0.3171295082113191
7,walking_upstairs,-0.4274082932553875
8,laying,-0.6270895335379968
8,sitting,-0.6377264589822488
8,standing,-0.6394637226213543
8,walking,-0.29975549986735195
8,walking_downstairs,-0.19351985419359005
8,walking_upstairs,-0.29337781563221793
9,laying,-0.6284140472683275
9,sitting,-0.6275308236532318
9,standing,-0.6337136310136939
9,walking,-0.3716466057882203
9,walking_downstairs,-0.31314074727705316
9,walking_upstairs,-0.4270754318960018
10,laying,-0.6336063142085675
10,sitting,-0.6400785510912413
10,standing,-0.6308865421660373
10,walking,-0.3270867761270281
10,walking_downstairs,-0.2631620733657277
10,walking_upstairs,-0.3456526003566021
11,laying,-0.6435530313730994
11,sitting,-0.6360816086921024
11,standing,-0.6483744679239164
11,walking,-0.4313665108712477
11,walking_downstairs,-0.3487174482935581
11,walking_upstairs,-0.43527506672086985
12,laying,-0.6301291939772496
12,sitting,-0.6363017506269506
12,standing,-0.6276840137634967
12,walking,-0.35556015544715425
12,walking_downstairs,-0.3114904363386252
12,walking_upstairs,-0.42179157558609026
13,laying,-0.6243379368760068
13,sitting,-0.6381791301628675
13,standing,-0.6392977490804338
13,walking,-0.3169888279251786
13,walking_downstairs,-0.3172347230874392
13,walking_upstairs,-0.41158207386477186
14,laying,-0.6283556452824036
14,sitting,-0.6399307718687914
14,standing,-0.6337711143746272
14,walking,-0.38550182450210513
14,walking_downstairs,-0.20337837386408672
14,walking_upstairs,-0.2854863588594235
15,laying,-0.6398831474481732
15,sitting,-0.6414962173395853
15,standing,-0.6400370913899938
15,walking,-0.3905262824763964
15,walking_downstairs,-0.2802273281162789
15,walking_upstairs,-0.39372091154208855
16,laying,-0.6359061174995513
16,sitting,-0.6422540232107014
16,standing,-0.6465384164751973
16,walking,-0.43136280837904195
16,walking_downstairs,-0.3390803017917121
16,walking_upstairs,-0.44014645177075884
17,laying,-0.6298764206577655
17,sitting,-0.6437073609836481
17,standing,-0.6446750703293976
17,walking,-0.387039462708526
17,walking_downstairs,-0.3651944968883338
17,walking_upstairs,-0.4014313558611117
18,laying,-0.6450398550114346
18,sitting,-0.6502402421623752
18,standing,-0.645518459042212
18,walking,-0.4363060772971767
18,walking_downstairs,-0.43866381118522174
18,walking_upstairs,-0.470681472754459
19,laying,-0.6329992187548839
19,sitting,-0.6389866665307274
19,standing,-0.6401366972175306
19,walking,-0.23825278659688695
19,walking_downstairs,-0.07830639811333498
19,walking_upstairs,-0.3168211183194952
20,laying,-0.6443974386969084
20,sitting,-0.6398727253830921
20,standing,-0.6200277321571459
20,walking,-0.25951811708866346
20,walking_downstairs,-0.24716966542028765
20,walking_upstairs,-0.33829194145144337
21,laying,-0.6311087644337604
21,sitting,-0.6447244932055243
21,standing,-0.6384502142415842
21,walking,-0.3306487062455876
21,walking_downstairs,-0.2913019756735111
21,walking_upstairs,-0.3819670060881366
22,laying,-0.6321090814832775
22,sitting,-0.6340156001385888
22,standing,-0.6359920944869533
22,walking,-0.27420098711631113
22,walking_downstairs,-0.28766483725869296
22,walking_upstairs,-0.30518552154117484
23,laying,-0.6280894735917262
23,sitting,-0.6328435406124564
23,standing,-0.6370241688102669
23,walking,-0.2652967188298287
23,walking_downstairs,-0.20246554081644977
23,walking_upstairs,-0.3695813125880067
24,laying,-0.6342033875607935
24,sitting,-0.6466194966205511
24,standing,-0.6341948938417342
24,walking,-0.4169751751760016
24,walking_downstairs,-0.35908599198414887
24,walking_upstairs,-0.4358382868853203
25,laying,-0.5895066984960357
25,sitting,-0.6453074675751527
25,standing,-0.645297950751058
25,walking,-0.4608421222155993
25,walking_downstairs,-0.42992441053115665
25,walking_upstairs,-0.4855122332476898
26,laying,-0.640679888089531
26,sitting,-0.6427185089215687
26,standing,-0.644004547265191
26,walking,-0.3920087555618132
26,walking_downstairs,-0.32247312349066126
26,walking_upstairs,-0.4116727824336803
27,laying,-0.645993647892745
27,sitting,-0.6473298140349736
27,standing,-0.6443562121626367
27,walking,-0.3777712720941043
27,walking_downstairs,-0.3124461297928108
27,walking_upstairs,-0.42626705201745796
28,laying,-0.6405187103277986
28,sitting,-0.6373225265135638
28,standing,-0.6278835243099292
28,walking,-0.3937872552377395
28,walking_downstairs,-0.29165087695550185
28,walking_upstairs,-0.4010929659376055
29,laying,-0.646324698842316
29,sitting,-0.644100724926612
29,standing,-0.6502452788684829
29,walking,-0.35289494340478317
29,walking_downstairs,-0.31726279115201034
29,walking_upstairs,-0.3644297473151379
30,laying,-0.6426252967958211
30,sitting,-0.6460179019045831
30,standing,-0.6306354533422165
30,walking,-0.3736075241267736
30,walking_downstairs,-0.358790607945901
30,walking_upstairs,-0.4393707301880291
